team,team_rating,round_elim
Villanova,96.53,5
Michigan,92.13,5
Kansas,92.37,5
Loyola (IL),87.27,5
Kansas State,87.4,4
Florida State,87.48,4
Duke,94.56,4
Texas Tech,89.19,4
Kentucky,90.54,3
Nevada,84.49,3
Gonzaga,90.07,3
Texas A&M,88.13,3
Clemson,87.57,3
Syracuse,84.6,3
West Virginia,91.15,3
Purdue,89.95,3
Maryland-Baltimore County,77.73,2
Buffalo,83.38,2
Tennessee,87.49,2
Cincinnati,91.21,2
Xavier,88.91,2
Ohio State,86.03,2
Houston,86.5,2
North Carolina,90.7,2
Seton Hall,85.95,2
Auburn,84.29,2
Michigan State,91.75,2
Rhode Island,83.75,2
Alabama,83.03,2
Marshall,77.86,2
Florida,87.22,2
Butler,85.96,2
Virginia,93.07,1
Creighton,83.4,1
Davidson,81.9,1
Arizona,87.86,1
Miami (FL),83.94,1
Wright State,74.31,1
Texas,82.9,1
Georgia State,75.99,1
Texas Southern,69.4,1
Missouri,78.49,1
South Dakota State,78.07,1
North Carolina-Greensboro,78.03,1
San Diego State,81.72,1
Montana,76.79,1
Providence,81.27,1
Lipscomb,72.45,1
Pennsylvania,75.55,1
North Carolina State,81.74,1
New Mexico State,79.79,1
College of Charleston,76.44,1
Texas Christian,84.84,1
Bucknell,78.25,1
Oklahoma,82.1,1
Iona,74.79,1
Radford,71.64,1
Virginia Tech,83.43,1
Murray State,78.93,1
Wichita State,87.97,1
St. Bonaventure,81.37,1
Stephen F. Austin,74.78,1
Arkansas,83.29,1
Cal State Fullerton,71.88,1
